Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,CapEx / OpEx,2024 Current Forecast,2025 Agreed Budget
IS Infosec & EA - SGRC (65190),Security Awareness - Creative Services,,,RNB,Op Ex,64356.52,54000.0
IS InfoSec & EA - Eng & Ops (65190),Mandiant Penetration Testing/Tabletop Exercise,,,Mandiant,Op Ex,12004.1666666667,156486.833333334
IS Infosec & EA - SGRC (65190),TEK Systems Consulting Services,,,TekSystems,Op Ex,939636.5403,703992.0
IS InfoSec & EA - IIEA - Portfolio Management (65190),Security Architecture,Security Architecture,,Icyberdefence,Op Ex,354107.88,300000.0
IS InfoSec & EA - Eng & Ops (65190),File Integrity Monitor solution (Tripwire),,Tripwire,"Fortra\
Tripwire",Op Ex,69836.13,46008.0
IS ED&EUS - End User Services (65140),PrintSolv- Printing MSP,,,PrintSolv,Op Ex,6000.0,0.0
IS Global Infrastructure – Network (65150),Network - Carlsbad last mile service (will be moved to Aryaka),DELETE - Converted to Aryaka and included in RowID 1838,AT&T,AT&T,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - Carlsbad last mile circuit (will be moved to Aryaka),DELETE - Converted to Aryaka and included in RowID 1838,Cox,Cox Communications,Op Ex,0.0,0.0
IS ED&EUS - End User Services (65140),Help Desk Support - UK,Retired,Service Contract until 1st April 2024,Littlefish,Op Ex,156250.121278,0.0
IS ED&EUS - End User Services (65140),IT Supplies  for New Hires/Lifecycle Management UK,IT Supplies New Hire/replacement - General (UK),Hardware,Softcat,Op Ex,178813.445248,228000.0
IS ED&EUS - End User Services (65140),"Misc Subscriptions (SnagIt, Think-Cell, Office Timeline,etc)",,,"CDW Direct, LLC",Op Ex,18750.0,40000.0
IS Corporate - Finance (65180),Financial Consolidation & Reporting,,,Adaptive Insights,Op Ex,81396.65,0.0
IS Corporate - Finance (65180),SOX Management Hub,,,AuditBoard,Op Ex,90983.64,98688.0
IS Corporate - Finance (65180),OfficeConnect Licenses,,,Workday Inc,Op Ex,0.0,5000.0
IS Corporate - Finance (65180),Tax Provision Software,,,CCH Connect,Op Ex,0.0,0.0
IS Corporate - Finance (65180),Corporate Tax Management,,,"Alteryx, Inc.",Op Ex,42000.0,42000.0
ERP Project Harmony (66100),"Existing NAV & Addon Licenses (JET, AMP, ReQlogic, Zetadocs)",,,Avanade Inc.,Op Ex,112379.44,0.0
ERP Project Harmony (66100),Managed Services (Call off Hours),,,Avanade Inc.,Op Ex,10000.0,0.0
IS Commercial - Omnichannel (65160),Website Hosting,Web hosting platform,Drupal Aquia,Acquia,Op Ex,337144.994862,362750.0
IS Corporate - Legal (65180),Scout Contract Management,,,Workday Inc,Op Ex,0.0,0.0
IS Corporate - Finance (65180),Scout RFP Licenses,,,Workday Inc,Op Ex,0.0,0.0
IS Commercial - Omnichannel (65160),Google Analytics 360 Licenses,-,-,Klick,Op Ex,20000.0,0.0
IS R&D – Global Clinical Development Operations (65170),Medidata Managed Services (Fixed Price) Service contract for the platform,Medidata Managed Services (Fixed Price) Service contract for the platform,Medidata,Medidata,Op Ex,97010.0,119406.0
IS R&D – Data Sciences (65170),P21 - Support CDISC verification of Sativex Submission data,P21 - Support CDISC verification of Sativex Submission data,Pinnacle21,Pinnacle 21,Op Ex,94036.5125,268592.666666666
IS R&D – Global Medical Affairs (65170),"Within3 Enterprise License (Giuseppi Piccoli)
IMPE basics is a 2-year agreement, ending 12/31/2025. There will not be a renewal of the IMP Premium","Within3 Enterprise License (Giuseppi Piccoli)
IMPE basics is a 2-year agreement, ending 12/31/2025. There will not be a renewal of the IMP Premium",Within3,Within3,Op Ex,435627.72,446520.0
IS R&D – Research & NonClinical Development (65170),SEND - Data Management solution for FDA,SEND - Data Management solution for FDA,SEND,Instem,Op Ex,24675.0,104825.0
IS R&D – Research & NonClinical Development (65170),Submit - Version Control for FDA Submission,Submit - Version Control for FDA Submission,Submit,Instem,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),SciFinder Discovery Platform,SciFinder Discovery Platform,SciFinder,Chemical Abstract Services,Op Ex,130021.666666667,130021.666666667
IS R&D – Data Sciences (65170),FACTS/ Samplesize calculation & adpative trial design software,FACTS/ Samplesize calculation & adpative trial design software,FACTS,Berry Consulting,Op Ex,108900.02,116655.0
IS R&D – Research & NonClinical Development (65170),Spotfire for R&D - Bronze support for each license,Spotfire for R&D - Bronze support for each license,Spotfire,Revvity,Op Ex,64181.76,0.0
IS R&D – Research & NonClinical Development (65170),Spotfire for R&D - Licenses + Support (as of April 2024),Spotfire for R&D - Licenses + Support (as of April 2024),Spotfire,Revvity,Op Ex,77785.32,94383.5555555556
IS TechOps & Quality – Supply (65130),Demand Planning/Statistical Forecasting,,,Vuealta Applications,Op Ex,0.0,0.0
IS TechOps & Quality – QA (65130),ComplianceWire Subscription,,,UL Verification Services,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),"(Gastroplus) Simulated Pharmacokinetic Analysis, ADMET, ADMET Predictor","(Gastroplus) Simulated Pharmacokinetic Analysis, ADMET, ADMET Predictor",Gastroplus,Simulations Plus,Op Ex,104864.0,424699.2
IS TechOps & Quality – Manufacturing (65130),Empower CDS Licensing - Global consolidation of 4 systems,,,Waters,Op Ex,55188.587,70200.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Azure Cloud Subscription- GW,,,Microsoft Corporation,Op Ex,6437.193267,0.0
IS Global Infrastructure – Network (65150),Network - Cambridge & KSP last mile service (will be moved to Aryaka),Network - LEGACY Cambridge & KSP last mile service (will be moved to Aryaka),Xoncomm,XonComms,Op Ex,30558.947935,12000.0
IS Global Infrastructure – Network (65150),Network - KSP last mile service (will be moved to Aryaka),DELETE - Included in RowID 2057,Xoncomm,XonComms,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - KSP last mile circuit (will be moved to Aryaka),DELETE - Included in RowID 2057,Sota,XonComms,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Licence/subscription for Creston XiO Cloud Management Console,,,Digicom Office Technology Ltd,Op Ex,12724.56,0.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - VMWare license and support (Jazz & GW),Manufacturing - VMWare license and support (Jazz & GW),VMWare,Softcat,Op Ex,139491.89569,80000.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - On premise storage maintenance,Manufacturing - On premise storage maintenance,HP,Softcat,Op Ex,45000.0,24000.0
IS Global Infrastructure – Network (65150),Network - Legacy SD-WAN that will be decommisioned ... paid till 2025,DELETE,Cisco Meraki,XonComms,Op Ex,0.0,0.0
IS R&D – Global Medical Affairs (65170),Global Veeva Vault MedComms Licenses,Global Veeva Vault MedComms Licenses,MedComms,Veeva Systems Inc,Op Ex,4950.0,0.0
"IS Strategy, Ops & Compliance - PMO (65120)","Clarity License (3 year renewal)
Full: Unlimited
Restricted: Unlimited
View Only: Unlimited
RegoXChange: 1250.00
Smartsheet Connector: 8K",,Clarity,Rego Consulting,Op Ex,113423.2,140580.0
"IS Strategy, Ops & Compliance - Compliance (65120)",JIRA Licenses,,JIRA,Gaia Praecipio,Op Ex,43174.707071,69475.0
IS Commercial - US Business (65160),MedPro Enrichment Services for EMD and Sleep,,,MedPro,Op Ex,0.0,0.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Communications Credit for Voice Services,,,Microsoft Corporation,Op Ex,600.0,2400.0
IS TechOps & Quality – QA (65130),Veeva Business & System Admin Training,,Veeva Quality Vault,Veeva Systems Inc,Op Ex,0.0,30000.0
IS Global Infrastructure – Network (65150),Network - DHCP/DNS appliance  maintenance,Network - DHCP/DNS appliance  maintenance - Paid till August 2026,Infoblox,Evotek,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - Terminal Access Control (TACACS)  ClearPass renewal,Network - Terminal Access Control (TACACS)  ClearPass renewal,HP Aruba,Evotek,Op Ex,10736.33,10000.0
"IS Strategy, Ops & Compliance - Compliance (65120)",Paperless qTest Software License/Maintenance,,QTEST,Tricentis,Op Ex,80422.375,80352.0
IS Commercial - Data Strategy and Ops (65160),US - SHYFT Data Services and Licenses,,SHYFT,Medidata,Op Ex,103237.5,0.0
"IS Strategy, Ops & Compliance - Compliance (65120)",Validation Artifacts - VERA DevOps Software License/Maintenance,,VERA,Tricentis,Op Ex,48639.414397,52456.5
"IS Strategy, Ops & Compliance - Compliance (65120)",Athlone on site support,,,TDV,Op Ex,48804.327337,0.0
IS Commercial - EU & Int'l (65160),Keep the lights on for existing Consent Management (Shyft),contract # 30413 for 2025,SHYFT,Medidata,Op Ex,234577.751775,332402.4
IS Commercial - EU & Int'l (65160),Keep the lights on for existing Consent Management,contract # 30413 for 2025,SHYFT,Medidata,Op Ex,35990.104098,66000.0
IS Commercial - Omnichannel (65160),Legacy GW Marketing Cloud and Datorama licensing,Eu/ Intl Marketing Cloud,Salesforce,Salesforce,Op Ex,289355.69,194000.0
IS Commercial - Omnichannel (65160),"Platform and Development Managed Services (Commercial) - Infrastructure support, digital strategy and design (Commercial)","Platform and Development Managed Services (Commercial) - Infrastructure support, digital strategy and design (Commercial)",-,Motionstrand,Op Ex,323680.0,319000.0
IS ED&EUS - Digital Workplace (65140),Point B managed Service contract,,,Point B,Op Ex,1664204.5,0.0
IS Commercial - Omnichannel (65160),Veeva CRM Backup (annual),Veeva CRM Backup (annual),OwnBackup / Veeva,OwnBackup Inc,Op Ex,46059.7,50666.0
IS Commercial - Omnichannel (65160),Turning Point Licenses - Field Training,,,,Op Ex,0.0,0.0
IS Commercial - EU & Int'l (65160),HCP Verification in Germany,pending more info before renew for 2025 as 3 year contract,DocCheck,DocCheck,Op Ex,47934.576,52728.48
IS Commercial - EU & Int'l (65160),Jazz Website - Pen test & Apps,,,Swordfish,Op Ex,0.0,0.0
IS ED&EUS - Digital Workplace (65140),CW Resource extension - Lily Ferro,,,Point B,Op Ex,-198075.89,0.0
IS InfoSec & EA - IIEA - Portfolio Management (65190),IIEA Project Managers,IIEA Senior Project Manager,,Davies,Op Ex,126948.7686,216000.0
IS ED&EUS - End User Services (65140),CW - Infrastructure Systems Engineer - RA,,,Grovelands,Op Ex,264108.29895,258336.0
IS TechOps & Quality – Manufacturing (65130),ZIFO MSP PM - David,,,Zifo Technologies Inc,Op Ex,50233.97699,216000.0
IS TechOps & Quality – QA (65130),CW - LM,,,RBW Consulting,Op Ex,172832.084758,108000.0
IS TechOps & Quality – Manufacturing (65130),CW - Aparna,,,Recruitment for Technology Ltd,Op Ex,102214.52,108000.0
IS Commercial - EU & Int'l (65160),Marketing Cloud & Digital Website Support - RC,"Requisiton 21341
Contractt 30401",,Grovelands,Op Ex,213074.5935,245292.0
IS Global Infrastructure - Cloud (65150),Cloud - Managed File Transfer (MFT) Service,Cloud - Managed File Transfer (MFT) Service,Fortra MFT,Forta,Op Ex,51239.77,55000.0
IS R&D – Data Sciences (65170),SAS and IML Licenses for SAS Data Analysis - Annual Renewal (Run) - Global (US + Ex-US),SAS and IML Licenses for SAS Data Analysis - Annual Renewal (Run) - Global (US + Ex-US),SAS,d-Wise Technologies Inc,Op Ex,154318.31,251653.466666666
"IS Strategy, Ops & Compliance (65120)",IS Team Development/Events,,,TBD,Op Ex,0.0,0.0
IS TechOps & Quality – Manufacturing (65130),Label Management System Support and License Fee,,Prisym,PrisymID Loftware,Op Ex,120000.0,69504.0
IS TechOps & Quality – QA (65130),Sample Manager LIMS Licensing,,,Thermo-Fisher Scientific,Op Ex,113476.967878,67164.0
"IS Strategy, Ops & Compliance - C&E (65120)",Contract Comms Resource - IS Marketing (M),,,"CVPartners, Inc.",Op Ex,187667.286,195048.0
"IS Strategy, Ops & Compliance - PMO (65120)",UK PMO Lead (GT),,,Grovelands,Op Ex,126532.724,0.0
IS R&D – Research & NonClinical Development (65170),Tibco Visualisation tool for chemical data (10 licenses),Tibco Visualisation tool for chemical data (10 licenses),TIBCO Spotfire,Revvity,Op Ex,10164.0,16940.0
IS R&D – Research & NonClinical Development (65170),Lhasa Derek - Statistical software tool that gives you accurate toxicological predictions (6 licenses),Lhasa Derek - Statistical software tool that gives you accurate toxicological predictions (6 licenses),Lhasa Derek,Lhasa Limited,Op Ex,0.0,0.0
IS R&D – Research & NonClinical Development (65170),"Lhasa Nexus, Sarah, and Derek- Statistical software tool that gives you accurate toxicological predictions (6 licenses)","Lhasa Nexus, Sarah, Derek, Meteor - Statistical software tool that gives you accurate toxicological predictions (5 licenses). Annual maintenance fee","Nexus Sarah, Derek, Meteor",Lhasa Limited,Op Ex,34463.0,42128.0
IS R&D – Research & NonClinical Development (65170),"ACD LABS Licenses PhysChem  Suite (7), Method Selection Suite (1) and NMR (1)","ACD LABS Licenses PhysChem  Suite (7), Method Selection Suite (1) and NMR (1)","ACD Suite (ChemSketch, Percepta, Spectrus)",ACDLabs,Op Ex,28224.8638,29774.85
IS R&D – Research & NonClinical Development (65170),"Elsevier Reaxys - Web-based tool for the retrieval of chemistry information and data from published literature, including journals and patents.","Elsevier Reaxys - Web-based tool for the retrieval of chemistry information and data from published literature, including journals and patents.",Reaxys,Elsevier,Op Ex,4785.54,20999.0
IS R&D – Research & NonClinical Development (65170),TIBCO Sportfire Lead Discovery Server Maintenance,TIBCO Sportfire Lead Discovery Server Maintenance,Lead Discovery,Revvity,Op Ex,2329.26,0.0
IS R&D – Research & NonClinical Development (65170),BIOVIA Equipment Support Services,BIOVIA Equipment Support Services,Biovia,Biovia,Op Ex,1270.5,0.0
IS R&D – Research & NonClinical Development (65170),Lhasa Derek Annual Maintenance Fee,Lhasa Derek Annual Maintenance Fee,Lhasa Derek,Lhasa Limited,Op Ex,0.0,0.0
IS R&D – Global Medical Affairs (65170),"Global MIC Licenses for all BUs
Includes Nintex application","Global MIC Licenses for all BUs
Includes Nintex application",Mavens MIC,Mavens Komodo Health,Op Ex,216636.86,238140.0
IS R&D – Global Medical Affairs (65170),"Global Service Cloud Licenses to Support MIC for all BUs (1:1 with MIC License)
Includes
GW Read Only US: 03/28/25
GW Read Only GB: 03/29/25
Data Store: 03/29/25","Global Service Cloud Licenses to Support MIC for all BUs (1:1 with MIC License)
Includes
GW Read Only US: 03/28/25
GW Read Only GB: 03/29/25
Data Store: 03/29/25",Mavens MIC,Salesforce,Op Ex,231515.64,248005.8
IS Commercial - Data Strategy and Ops (65160),DAM Platform Subscription/Licenses (~100 licenses),-,-,Bynder,Op Ex,126261.26,0.0
IS Corporate - HR (65180),Intranet Platform Subscription (licenses and support) Yrs 2&3,,,BrightStarr T/A Unily,Op Ex,89376.0,96516.0
ERP Project Harmony (66100),Concur Test Environment,,,Concur,Op Ex,0.0,0.0
ERP Project Harmony (66100),Annual support for NAV,,,Avanade Inc.,Op Ex,52920.73,0.0
IS Corporate - Finance (65180),CData Licenses,,,CData,Op Ex,0.0,2500.0
IS ED&EUS - Service Management (65140),ServiceNow Developer,,,Davies Resourcing Limited,Op Ex,268844.976,288000.0
IS R&D – Global Clinical Development Operations (65170),"Enhancement cost for CDF: New Vendor Data Feeds, SSO, etc.","Enhancement cost for CDF: New Vendor Data Feeds, SSO, etc.",JazzCDF,eClinical Solutions LLC,Op Ex,0.0,20000.0
IS TechOps & Quality – Supply (65130),TraceLink annual Subscriptions,,,TraceLink,Op Ex,0.0,0.0
IS TechOps & Quality – Manufacturing (65130),Lab System / Mobile device Hardware: New & Replacements,,,TBD,Op Ex,64240.0081,40000.0
IS Commercial - EU & Int'l (65160),Veeva link license for Neuroscience,"30413 - contract ID in Coupa
30413 - contract ID in Coupa
PR 21449",Veeva CRM,EU - Veeva Systems Inc,Op Ex,89840.355169,0.0
ERP Project Harmony (66100),Blackline Subscriptions,,,"Business Objects Software Limited, t/a SAP Solutions",Op Ex,115057.76,312000.0
IS Enterprise Data & Analytics (65115),Redshift EU - Yearly Licenses,Redshift EU - Yearly Licenses,Redshift EU,Amazon Web Services Inc,Op Ex,64325.88,48249.0
IS Enterprise Data & Analytics (65115),Informatica Cloud (IICS) EU - Yearly Licenses (300 IPU's),Informatica Cloud (IICS) EU - Yearly Licenses (300 IPU's),Informatica,Informatica,Op Ex,112132.32,17280.0
IS Enterprise Data & Analytics (65115),Dataiku (AI/ML) Tool - Yearly Licenses,Dataiku (AI/ML) Tool - Yearly Licenses,Dataiku,Dataiku,Op Ex,292800.5,288240.0
IS Infosec & EA - SGRC (65190),Audit services for ISO 27001,,,Coalfire Systems Inc,Op Ex,65900.99,117409.0
IS Corporate - Finance (65180),Ongoing license costs for Concur expense mgmt,,,Concur/Consilio,Op Ex,0.0,0.0
IS Corporate - HR (65180),Integration and Data Insights Consultant and Project Management,,,Canabana,Op Ex,184194.413795,0.0
IS TechOps & Quality – QA (65130),eDMS/eQMS Managed Services/Operations Support,,Veeva Quality Vault,Base Life Sciences,Op Ex,441411.686687,500000.0
IS ED&EUS - End User Services (65140),New Hire laptops UK,New Hire laptops UK,Hardware,Softcat,Cap Ex,298250.0,262800.0
IS ED&EUS - End User Services (65140),New Hire iPad Europe & UK,New Hire iPad Europe & UK,Hardware,HiberniaEvros Technology Group,Cap Ex,0.0,60000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),ShareGate - MS365 reporting and management tool,,,ShareGate,Op Ex,0.0,16000.0
IS Corporate - Finance (65180),KPLabs Support Services for Jazz Engage,,,Keesal Propulsion Labs Inc,Op Ex,43500.0,22000.0
IS ED&EUS - End User Services (65140),Patch My PC Subscription,,,Groupware Technology Inc,Op Ex,18536.0,19000.0
IS Enterprise Data & Analytics (65115),Redshift NA - Yearly Licenses,To be retired,Redshift NA,Amazon Web Services Inc,Op Ex,83852.13,0.0
"IS Strategy, Ops & Compliance - PMO (65120)",Rego Support for Clarity,,,Rego Consulting,Op Ex,105315.2,108000.0
IS Enterprise Data & Analytics (65115),RStudio Licenses - GROWTH,RStudio Licenses - GROWTH,RStudio,Posit,Op Ex,2077.86,50000.0
IS Commercial - EU & Int'l (65160),HCP Verification in Italy,ending more info before renew for 2025 as 3 year contract,Medikey,Edra Spa,Op Ex,11303.4,20722.8
IS Commercial - EU & Int'l (65160),HCP Verification in France,,OneKey,IQVIA Inc,Op Ex,46868.643788,66000.0
IS R&D – Data Sciences (65170),Centralized Knowledge Management Tool - Subscription,Centralized Knowledge Management Tool - Subscription,Slab,Slab,Op Ex,32000.0,33600.0
IS ED&EUS - End User Services (65140),IT Supplies New Hire/replacement - New Hire box,,,Mint Sauce LDN,Op Ex,0.0,0.0
IS Corporate - Corporate Affairs (65180),Jazz Engage Enhancements,,,Keesal Propulsion Labs Inc,Op Ex,10327.5,10000.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - Linux OS maintenance,DELETE,Redhat,Softcat,Op Ex,0.0,2000.0
IS InfoSec & EA - Eng & Ops (65190),Delinea Secret server and Privileged Manager (Former known as Thycotic Secret Server Cloud),,Delinea,Evotek,Op Ex,202713.45,289176.0
IS R&D – Research & NonClinical Development (65170),PKPD Modeling license fees for NONMEM software,"PKPD Modeling license fees for NONMEM software, 6 licenses",NonMem,ICON,Op Ex,18999.99,30000.0
IS ED&EUS - Service Management (65140),ServiceNow Test Instance,,,Servicenow Inc,Op Ex,0.0,0.0
IS Commercial - Omnichannel (65160),Omnichannel Data Engineer,-,-,CompassX,Op Ex,333346.8,0.0
IS TechOps & Quality – Manufacturing (65130),EHS system move to global usage - budget transfer from KSP Operations,,,Elmstone Systems,Op Ex,0.0,100200.0
IS ED&EUS - Digital Workplace (65140),CW Resource extension - Deva Content,,,Point B,Op Ex,-198075.89,0.0
IS Corporate - Finance (65180),Licenses for international payroll services,,,Cloudpay,Op Ex,0.0,0.0
IS Corporate - Corporate Affairs (65180),Visiontracker - Corp Grants SaaS Fees - Run,Moved out of R&D IS/GMA to Betty's team for 2025 and beyond,VisionTracker,"Envision Pharma, Inc.",Op Ex,39054.0,41397.24
IS R&D – Global Medical Affairs (65170),"iEnvision - IIR (IST) SaaS Fees - Run
Also incl for old MIC instance (Leo)","iEnvision - IIR (IST) SaaS Fees - Run
Also incl for old MIC instance (Leo)",iEnvision,"Envision Pharma, Inc.",Op Ex,58415.68,100140.0
IS Enterprise Data & Analytics (65115),Tableau NA - Yearly Licenses,Tableau NA - Yearly Licenses,Tableau,Salesforce,Op Ex,169561.32,348774.0
IS Corporate - HR (65180),Licenses for OrgVue,,,OrgVue,Op Ex,81301.17,87600.0
IS TechOps & Quality – Manufacturing (65130),Tulip Platform Licensing & Support,,Tulip,Tulip,Op Ex,0.0,161004.0
IS TechOps & Quality – Manufacturing (65130),RMS License Maintenance,,,Rotronic,Op Ex,0.0,4070.0
IS TechOps & Quality – Supply (65130),"Perigord ""GLAMS"" Artwork Management System",,,Perigord Data Solutions Limited,Op Ex,0.0,0.0
IS Commercial - Omnichannel (65160),Website Maintenance & updates,-,-,"Klick , Fishawack, Work Box and H4B",Op Ex,70380.0,0.0
IS Commercial - Omnichannel (65160),"SFDC Licensing Marketing Cloud, Health Cloud and Datorama",US Marketing Cloud and Healthcloud,Salesforce,Salesforce,Op Ex,379446.89,421666.0
IS Commercial - Omnichannel (65160),Campaign Managed Services For Marketing Cloud EMD/ INT,Campaign Managed Services For Marketing Cloud EU / INT,Cognizant Worldwide Limited,Cognizant Worldwide Limited,Op Ex,269365.0,200000.0
IS Commercial - Omnichannel (65160),"Jazz CX Infrastructure Managed Services, Marketing Cloud, Health Cloud, Datorama","Omni Channel Infrastructure Managed Services, Marketing Cloud, Health Cloud",klick,Klick,Op Ex,124747.58,200000.0
IS ED&EUS - End User Services (65140),laptop and equipment recycling and data destruction UK / Ireland,laptop and equipment recycling and data destruction UK / Ireland,Services,Wisetek Solution Inc,Op Ex,42000.0,14400.0
IS TechOps & Quality – QA (65130),Veeva Quality Vault ELA 4500,,Veeva Quality Vault,Veeva Systems Inc,Op Ex,2213970.79,2065508.0
IS InfoSec & EA - EA (65190),IS - EA :  Solution Architecture Tool for architecture & flow charts,IS - EA :  Solution Architecture Tool for architecture & flow charts,Lucid,Lucid,Op Ex,25371.0,45000.0
IS InfoSec & EA - EA (65190),IS EA: Enterprise Architecture Management (EAM) Tool to Manage your IT Capabilities &  Gaps,IS EA: Enterprise Architecture Management (EAM) Tool to Manage your IT Capabilities &  Gaps,LeanIX,LeanIX,Op Ex,0.0,50000.0
IS InfoSec & EA - Eng & Ops (65190),Cyberhaven hosted Endpoint DLP,,Cyberhaven,Cyberhaven,Op Ex,177786.52,191160.0
IS ED&EUS - Digital Workplace (65140),CW Business Analyst (WN),,,Point B,Op Ex,13440.0,0.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - HP Hardware support including UPS,Manufacturing - HP Hardware support including UPS & Real VNC Remote Access,HP,Softcat,Op Ex,10257.636181,50000.0
IS Global Infrastructure - Manufacturing (65150),"Manufacturing - Legacy enterprise Arcserve backup at sites (KSP, CAM) that needs to remain until these sites have been converted to Veeam and the restores have expired",,Arcserve,Softcat,Op Ex,0.0,0.0
IS InfoSec & EA - Eng & Ops (65190),Infosec Pentest,,Risksense,Evotek,Op Ex,0.0,259374.0
IS InfoSec & EA - IIEA - Portfolio Management (65190),,PWC Tabletop exercise Execs,,PriceWaterhouseCoopers Advisory Services LLC,Op Ex,0.0,100000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),"MS Teams, SS, Box, Other Application Support (Cognizant)",,,Cognizant Worldwide Limited,Op Ex,241950.0,157332.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Box SaaS Fees,,,Box Inc,Op Ex,439450.77,257862.0
IS R&D – Global Pharmacovigilance & Labeling (65170),PVI - Managed Services,PVI - Managed Services,JazzPVI,RxLogix Corporation,Op Ex,13200.0,79200.0
ERP Project Harmony (66100),Enable now subscriptions second year,,,"Business Objects Software Limited, t/a SAP Solutions",Op Ex,64595.89,75000.0
IS ED&EUS - Service Management (65140),CW Resource in Service Mgmt - AD,,,Davies,Op Ex,379189.5458,288000.0
IS InfoSec & EA - Eng & Ops (65190),ServiceNow license subscription for Security Incident Response (SIR) module,,,Servicenow Inc,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - Hands and feet support at site,DELETE,US Sites,Primacy SI LLC,Op Ex,0.0,0.0
IS R&D – Global Medical Affairs (65170),Mavens Managed Services for MIC,Mavens Managed Services for MIC,Mavens MIC,Mavens Komodo Health,Op Ex,144870.0,142875.0
IS TechOps & Quality – Manufacturing (65130),"CMMS (Maximo) Hosting, SaaS Subscription, and Support fees",,Maximo,Cohesive,Op Ex,152092.705399,174000.0
IS Commercial - EU & Int'l (65160),International & European Website Support,"Requisiton 21341
Contractt 30401 - QUERY - consilidate to line 2241????",,Cognizant Worldwide Limited,Op Ex,134640.0,246840.0
IS R&D – Data Sciences (65170),Omics Analytics SaaS (Sonrai),Omics Analytics SaaS (Sonrai),Sonrai,Sonrai,Op Ex,63125.0,55125.0
IS R&D – Research & NonClinical Development (65170),Drug Structure Prediction SaaS (2 licenses),Drug Structure Prediction SaaS (2 licenses),Chemistry42,InSilico Medicine,Op Ex,136164.59,0.0
IS R&D – Data Sciences (65170),Biognosys,Biognosys,Spectronaut,Biognosys,Op Ex,16280.01,68376.0
"IS Strategy, Ops & Compliance - Compliance (65120)",Test Automation Licence Costs,,TAF,JetBrains/AWS,Op Ex,0.0,0.0
"IS Strategy, Ops & Compliance - Compliance (65120)",ERA Sciences Validation Managed Service,,,ERA Sciences,Op Ex,580989.18,604000.0
IS ED&EUS - Collaboration & Productivity Platforms (65140),Smartnet (xx),,,Evotek,Op Ex,10500.0,0.0
"IS Strategy, Ops & Compliance - Compliance (65120)",MSP to support delivery of Test Automation,,TAF,Intelliswift Software Inc.,Op Ex,264000.0,264000.0
IS R&D – R&D Strategy & Operations (65170),Resource for Asset Collaboration Hub SharePoint support,Resource for Asset Collaboration Hub SharePoint support,Sharepoint,Point B,Op Ex,84853.75,0.0
IS ED&EUS - Digital Workplace (65140),Mentimeter Licenses,,,Mentimeter,Op Ex,6750.0,7000.0
IS R&D – Research & NonClinical Development (65170),ELN (Licenses & ) Maintenance,ELN (Licenses & ) Maintenance,ELN,Dassault Systemes BioVia Corp,Op Ex,171492.997816,180006.75
IS Global Infrastructure – Network (65150),Network - Palo Alto firewall maintenance renewals (Jazz),Network - Palo Alto firewall maintenance renewals (Jazz),Palo Alto,Evotek,Op Ex,2216.87,0.0
IS Commercial - Omnichannel (65160),Validity - License (Email verification) - Marketing Cloud Addon,Validity - License (Email verification) - Marketing Cloud Addon,Validity,Validity,Op Ex,0.0,25000.0
IS ED&EUS - Service Management (65140),ServiceNow Developer,,,Cognizant Worldwide Limited,Op Ex,0.0,0.0
IS Global Infrastructure – Network (65150),Network - Batteries for comms rooms in sites,DELETE,APC,HiberniaEvros Technology Group,Op Ex,-9837.9,0.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - Monitoring for systems at GW sites,Manufacturing - Monitoring for Manufacturing environments,Solarwinds,Loop1 UK,Op Ex,9523.9719,10000.0
IS Corporate - Finance (65180),Source to Pay Ongoing License Costs (Yrs2-5),,,Coupa Software,Op Ex,888260.54,830844.0
IS R&D – Data Sciences (65170),IPA (Ingenuity Pathway Analysis) - SaaS Licenses,IPA (Ingenuity Pathway Analysis) - SaaS Licenses,IPA,Qiagen,Op Ex,111593.473527273,94189.2045454546
IS R&D – Research & NonClinical Development (65170),Chem Draw - PO for 3 year SaaS license purchases,Chem Draw - PO for 3 year SaaS license purchases,Chem Draw,Revvity,Op Ex,38484.26,38772.0
IS R&D – Research & NonClinical Development (65170),PandaOmics - 15 additional licenses,PandaOmics Additional 5 licenses,Panda Omics,InSilico Medicine,Op Ex,86295.0,0.0
IS Global Infrastructure - Manufacturing (65150),Manufacturing - B740 comms room improvements,DELETE,KSP,SGN,Op Ex,-19500.352695,0.0
