Department,Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,Entity,Cost Type,GL Code,CapEx / OpEx,Multi-Year Licence?,Renewal Date,Pre-Paid,Classification,2024 Current Forecast,2024 Original Forecast,2024 Agreed Budget,2024 Variance,2023-2024 Difference,Dec 2025 Actuals,Dec 2025 PO Details,2025 Current Forecast,2025 Original Forecast,2025 Agreed Budget,2025 Variance,2024-2025 Difference
IS Infrastructure,IS Global Infrastructure - Cloud (65150),"Cloud - AWS costs for all departments including Marketplace purchases for SAP Linux, N2WS, Veeam, Synchronet, etc. ...","Cloud - AWS costs for all departments including Marketplace purchases for SAP Linux, N2WS, Veeam, Synchronet, etc. ...",AWS,Amazon Web Services Inc,2101 - US,INFRA --- AWS Hosting Fees (Opex),630950,Op Ex,,05/31/25,,Extend,"$6,506,780","$5,795,110","$5,493,000","$711,670","$2,066,780",,,"$6,960,000","$6,960,000","$6,960,000",$0,"$1,467,000"
BPS TechOps,IS TechOps & Quality – QA (65130),"LMS - CornerStone SBX (Saba) Licences (Includes User licences, Choice Support, Connector subscriptions  for video, Teams, Zoom, LinkedIn)",,Cornerstone SBX (Saba),CornerStone (previously Saba),2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,02/12/24,True,Extend,"$292,965","$310,000","$300,000","-$17,035","$70,965",,,"$314,880","$314,880","$314,880",$0,"$14,880"
ERP,ERP Project Harmony (66100),SAP S/4 Annual AMS & TMS (Support),,,NTT Itelligence,1200 - IRE,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,True,Extend,"$1,697,849","$1,920,000","$1,920,000","-$222,151","$1,013,849",,,"$2,067,600","$2,067,600","$2,067,600",$0,"$147,600"
BPS TechOps,IS TechOps & Quality – QA (65130),Job Assignment Manager Microapp (Saba App),,CornerStone SBX (Saba),Educe,1200 - IRE,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,02/01/24,True,Extend,"$10,463","$24,500","$21,000","-$14,037","-$10,537",,,"$22,452","$22,452","$22,452",$0,"$1,452"
BPS R&D,IS R&D – Global Medical Affairs (65170),Visiontracker -EAP SaaS Fees - Run,,VisionTracker,"Envision Pharma, Inc.",2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,05/11/26,,Extend,"$33,075","$33,075","$33,075",$0,$0,,,"$44,690","$44,690","$44,690",$0,"$11,615"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft MS365 Software Subscription & License Renewall,,,Microsoft Corporation,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,08/31/23,True,Extend,"$3,323,602","$3,316,000","$3,420,000","$7,602","-$510,098",,,"$3,120,000","$3,120,000","$3,120,000",$0,"-$300,000"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),AV Support for Board of Director Meetings (Dublin),,Support,Digicom Office Technology,1200 - IRE,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Retire,"$19,921","$24,000","$24,000","-$4,079","$7,921",,,$0,$0,$0,$0,"-$24,000"
ERP,ERP Project Harmony (66100),SAP S/4 annual license maintenance,,,NTT Itelligence,1200 - IRE,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,True,Extend,"$865,925","$888,000","$888,000","-$22,075","$54,473",,,"$852,000","$852,000","$852,000",$0,"-$36,000"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Tableau Licenses - GROWTH (US),To be retired,Tableau,Salesforce,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Retire,$0,$0,$0,$0,"-$45,492",,,$0,$0,$0,$0,$0
BPS R&D,IS R&D – Research & NonClinical Development (65170),Statistical Software for TECHOPS and R&D users,,JMP,JMP,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,,"$13,125","$13,125",,0,"$13,125",,,"$18,750","$18,750","$18,750",$0,"$18,750"
IS InfoSec,IS Infosec & EA - SGRC (65190),CAPEX: Security resource to support HCP and Mywave app developement security for commerical as part of project re:dream,,,PriceWaterhouseCoopers Advisory Services LLC,2101 - US,INFRA --- Project Implementation Services (Capex),150300,Cap Ex,No,,,New,"$200,000","$200,000",,0,"$200,000",,,$0,$0,$0,$0,$0
BPS R&D,IS R&D – Research & NonClinical Development (65170),"Chemistry42 - 5 tokens (RNCD)
PandaOmics - 40 licenses (DS)
InClinico - 3 licenses (DS)",,"Various (Chemistry42, PandaOmics, InClinico)",InSilico Medicine,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/20/24,,New,"$259,089","$29,333","$29,333","229,756","$259,089",,,"$352,880","$352,880","$352,880",$0,"$323,547"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),ArgusAxway Maintenance & Support,,Argus,"Axway, Inc",2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,05/14/24,True,Extend,$0,"$39,550","$36,213","-$39,550","-$24,965",,,"$39,550","$39,550","$39,550",$0,"$3,337"
IS ED&EUS,IS ED&EUS - Service Management (65140),CW Resource in Service Mgmt - Intelliswift (Sambasiva),"This is a new hire PM, replacing Alex Dyer",,Intelliswift Software Inc.,2101 - US,Contingent Worker (Opex),690150,Op Ex,1 Year,12/31/25,,New,$0,$0,,0,$0,,,"$276,000","$276,000","$276,000",$0,"$276,000"
IS ED&EUS,IS ED&EUS - Projects and Portfolio (65140),,ED&EUS Analyst/coordinator,,RBW Consulting,2101 - US,Consulting (Opex),690100,Op Ex,,,,New,$0,$0,,0,$0,,,"$206,400","$206,400","$206,400",$0,"$206,400"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),MDM Ops Support - Offshore,MDM Ops Support - Offshore,Informatica MDM - Ops Support - Offshore,PCGI,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,3 Year,11/01/27,,,$0,$0,,$0,$0,,,"$136,320","$136,320","$128,640","-$7,680","$136,320"
BPS R&D,IS R&D – Global Medical Affairs (65170),"JazzVault PromoMats and MedComms - SaaS - Annual License Subscription Run, including GW vaults
Includes Veeva CRM licenses: 07/07/25",,JV PromoMats and MedComms,Veeva Systems Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,01/31/25,True,Extend,"$1,263,430","$1,217,450","$842,681","$45,980","$378,340",,,"$1,361,257","$1,361,257","$1,361,257",$0,"$518,576"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),InfoSec Subscriptions -  CIS,,,CIS,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/28/24,,Extend,$0,"$7,500","$7,500","-$7,500","-$12,000",,,$0,$0,$0,$0,"-$7,500"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),InfoSec Subscriptions - Mandiant IR Retainer,,,Mandiant,2101 - US,Consulting (Opex),690100,Op Ex,,05/31/24,True,Extend,"$172,500","$107,833","$117,461","$64,667","$66,667",,,"$119,628","$119,628","$119,628",$0,"$2,167"
IS Infosec,IS InfoSec & EA - IIEA - Portfolio Management (65190),InfoSec Subscriptions - Threat Intel,InfoSec Subscriptions - Threat Intel,,PriceWaterhouseCoopers Advisory Services LLC,2101 - US,Consulting (Opex),690100,Op Ex,,10/18/23,,Extend,"$54,544","$54,540","$50,000",$4,"$6,544",,,"$54,000","$54,000","$54,000",$0,"$4,000"
BPS Corporate,IS Corporate - HR (65180),HR Shared Services Center HelpDesk Licenses (zendesk),,,Zendesk Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/29/25,True,Extend,"$168,097","$151,500","$151,500","$16,597","$72,097",,,"$192,000","$192,000","$192,000",$0,"$40,500"
IS Infosec,IS InfoSec & EA - IAM (65190),Estimating for 6300 licenses for 2024. Cost: 7 per user per month,,Sailpoint IdentityNow (JazzAccess),Evotek,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,3 Year,10/31/24,,Extend,"$635,776","$625,743","$580,614","$10,033","$131,596",,,"$576,000","$576,000","$576,000",$0,"-$4,614"
IS ED&EUS,IS ED&EUS - End User Services (65140),New Hire - iPads (CAPEX),,,"CDW Direct, LLC",2101 - US,INFRA --- Infrastructure over $5k per unit or IT Supplies for Office Move (Capex),150300,Cap Ex,,,,Extend,$0,$0,,$0,"-$230,000",,,"$254,000","$254,000","$254,000",$0,"$254,000"
IS Infosec,IS Infosec & EA - SGRC (65190),"Software licenses:
- 6 admins
- 11 moderates
- 1 task users",,LogicManager,LogicManager,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,02/12/24,True,Extend,"$109,904","$101,964","$44,906","$7,940","$1,844",,,"$43,332","$43,332","$43,332",$0,"-$1,574"
IS ED&EUS,IS ED&EUS - End User Services (65140),IT - Supplies New Hire - iPads Apple Care (OPEX),,,"CDW Direct, LLC",2101 - US,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,$0,$0,"$55,000",$0,"-$50,000",,,"$27,142","$27,142","$27,142",$0,"-$27,858"
IS Infosec,IS Infosec & EA - SGRC (65190),Managed service for InfoSec TPRM assessments and contract processing,,,ComplyScore LLC,2101 - US,Consulting (Opex),690100,Op Ex,,12/31/25,,Extend,"$190,683","$270,405","$270,405","-$79,722","$22,683",,,"$273,960","$273,960","$273,960",$0,"$3,555"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),Argus and PVI Oracle Enterprise Database Support and Maintenance - total 52Core. Multiple Budget Line Items are combined in this row and other Oracle Enterprise Database Line items are marked for Retire.,,"Argus, PVI",Oracle America Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,02/19/24,,Retire,$0,$0,$0,$0,"-$3,100",,,$0,$0,$0,$0,$0
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),"Managed Services - Security & Compliance Maintenance, Support & Operations",,,Stratogent Corporation,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,09/30/24,,Extend,"$349,635","$411,342","$388,083","-$61,707","-$248,279",,,"$386,148","$386,148","$386,148",$0,"-$1,935"
BPS R&D,IS R&D – Global Clinical Development Operations (65170),"Licensing for Litera apps (DocXTools, Content Companion, Change-Pro Compare)","Licensing for Litera apps (DocXTools, Content Companion, Change-Pro Compare)",Litera,Freedom Solutions Group LLC (Litera),2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/30/23,,Extend,"$133,125","$136,724","$136,724","-$3,599","$8,846",,,"$146,736","$146,736","$146,736",$0,"$10,012"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),AT&T Landline & Long Distance,,,AT&T,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$32,091","$24,000","$24,000","$8,091","$8,091",,,"$24,000","$24,000","$24,000",$0,$0
IS ED&EUS,IS ED&EUS - End User Services (65140),IT Supplies New Hire  - Canada - VAN,,,CDW Canada,2402 - CAN,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,$0,$0,"$39,600",$0,"-$36,000",,,"$22,500","$22,500","$45,000","$22,500","-$17,100"
IS ED&EUS,IS ED&EUS - End User Services (65140),IT Supplies New Hire  - Canada - MIS,,,CDW Canada,9101 - CAN,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,$0,$0,"$39,600",$0,$0,,,"$22,500","$22,500","$22,500",$0,"-$17,100"
ERP,ERP Project Harmony (66100),UKSUG Annual fee,,,UKSUG,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Extend,$0,"$2,000","$2,000","-$2,000","-$1,500",,,"$2,000","$2,000","$2,000",$0,$0
BPS Corporate,IS Corporate - HR (65180),HR Shared Service - Zendesk AMS,,,Envoy Studios,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,06/29/25,,Extend,$0,$0,"$42,000",$0,"-$40,000",,,$0,$0,$0,$0,"-$42,000"
BPS R&D,IS R&D – Data Sciences (65170),"VisualSVN Server Enterprise  to version control BioStats code and data. Maintenance renewal
Unlimited users + Unlimited VDFS repositories",,VisualSVN,Visual SVN,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Extend,$0,"$1,040","$1,040","-$1,040",-$990,,,"$1,092","$1,092","$1,092",$0,$53
BPS Corporate,IS Corporate - HR (65180),Technical Resource(s) for G&A Data Team,,,Intelliswift Software Inc.,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,06/30/23,,Retire,"$36,000","$144,000","$144,000","-$108,000","-$319,000",,,$0,$0,$0,$0,"-$144,000"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Reltio MDM - GROWTH,To be retired,Reltio,"Reltio, Inc.",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Retire,$0,$0,$0,$0,"-$45,075",,,$0,$0,$0,$0,$0
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Zoom Audio Monthly/Overage cost,,,"Zoom Video Communications, Inc.",2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,10/19/23,,Extend,"$3,998","$6,000","$6,000","-$2,003","-$80,003",,,"$2,400","$2,400","$2,400",$0,"-$3,600"
BPS Corporate,IS Corporate - Other/IS (65180),Docusign Validation,,,US Data Management,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,3 Year,04/30/25,True,Extend,"$17,000","$17,000","$17,000",$0,$0,,,"$20,000","$20,000","$20,000",$0,"$3,000"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Zoom Subscription,,,"Zoom Video Communications, Inc.",2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,10/19/23,True,Extend,"$48,690","$291,105","$288,000","-$242,415","-$371,310",,,"$230,000","$230,000","$230,000",$0,"-$58,000"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Tableau EU - Yearly Licenses,To be retired,Tableau,Salesforce,1200 - IRE,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,,True,Retire,"$30,606","$34,984","$34,984","-$4,378","-$21,827",,,$0,$0,$0,$0,"-$34,984"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),License costs for Vormetric - data-at-rest encryption,,Vormetric,Vormetric (Thales),2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,11/05/24,True,Extend,"$44,828","$49,312","$49,312","-$4,484","-$2,172",,,"$60,000","$60,000","$60,000",$0,"$10,688"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),Licence costs for Carbon Black,,Carbon Black,Carbon Black,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,10/22/24,,Extend,"$68,169","$68,695","$77,442",-$526,"-$16,431",,,"$15,600","$15,600","$15,600",$0,"-$61,842"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),"License costs for Quest AD Recovery Manager (MFG, Jazzpharma, Gentium domains)",,Quest,Quest Software Inc.,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,01/27/24,,Extend,"$50,487","$43,534","$11,115","$6,953","-$17,514",,,"$33,996","$33,996","$33,996",$0,"$22,881"
ERP,ERP Project Harmony (66100),CW - S4 Support Lindsay Saksa,,,RSS Consulting Inc,1200 - IRE,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,,Retire,"-$11,578","$100,800","$100,800","-$112,378","-$213,178",,,$0,$0,$0,$0,"-$100,800"
IS Infrastructure,IS Global Infrastructure - Manufacturing (65150),Manufacturing - Linux OS licenses,Manufacturing - Linux OS licenses,Redhat,Evotek,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Extend,"$8,394","$1,500","$1,500","$6,894","$6,894",,,"$1,500","$1,500","$1,500",$0,$0
IS ED&EUS,IS ED&EUS - Automation (65140),RPA annual License renewal,RPA annual License renewal,Automation Anywhere,"Automation Anywhere, Inc.",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,10/31/25,True,Extend,"$212,527","$212,530","$212,530",-$3,"$73,955",,,"$216,000","$216,000","$216,000",$0,"$3,470"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Zoom  Subscription Licenses for New Hires (FTEs and CWs),,,"Zoom Video Communications, Inc.",2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/19/23,,Retire,$0,$0,$0,$0,"-$14,400",,,$0,$0,$0,$0,$0
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Microsoft  Software Subscription Licenses - Annual True-ups for misc. license increases.,,,Microsoft Corporation,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,08/31/25,,Extend,"$183,638","$190,000","$130,000","-$6,363","$133,638",,,"$350,000","$350,000","$350,000",$0,"$220,000"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),MS Unified Enterprise Support,,,Microsoft Corporation,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,08/31/25,,Extend,"$301,188","$366,000","$396,000","-$64,812","$49,188",,,"$276,000","$276,000","$276,000",$0,"-$120,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),"Misc(Adobe,Backup,Java )Software Subscription Licenses for New Hires (FTEs and CWs)",,,"CDW Direct, LLC",2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,,,Extend,"$45,000","$60,000","$60,000","-$15,000","-$15,000",,,"$60,000","$60,000","$60,000",$0,$0
IS ED&EUS,IS ED&EUS - End User Services (65140),MSP - End User Services,"EUS MSP - Global Service Desk, Onsite, ServiceNow and Client Engineering",,Cognizant Worldwide Limited,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,"$2,541,277","$2,790,000","$3,000,000","-$248,723","$580,525",,,"$2,640,000","$2,640,000","$2,640,000",$0,"-$360,000"
IS Infrastructure,IS Global Infrastructure - Cloud (65150),Cloud - Managed Service Provider (MSP) for Infrastructure,Cloud - Managed Service Provider (MSP) for Infrastructure,CTS,Cognizant Worldwide Limited,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,5 Year,,,Extend,"$2,027,840","$2,168,695","$2,299,620","-$140,855","-$300,160",,,"$1,875,492","$1,875,492","$1,875,492",$0,"-$424,128"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),MSP - IT Global Infrastructure: UC and SDM Services,CPP support services,,Cognizant Worldwide Limited,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,09/30/23,,Extend,"$501,090","$420,654","$480,000","$80,436","$21,090",,,"$264,000","$264,000","$264,000",$0,"-$216,000"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),Annual Argus/PVI/IVEA Disaster Recovery / Backup Restore Test,,"Argus, PVI",Cognizant Worldwide Limited,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,,,Extend,"$10,000","$30,000","$30,000","-$20,000","-$10,000",,,"$35,000","$35,000","$35,000",$0,"$5,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),Graph Pad Licenses,,,Various,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/02/23,,Extend,$0,"$15,700","$14,000","-$15,700","-$12,500",,,"$16,700","$16,700","$16,700",$0,"$2,700"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),Illumio Network Host Micro Segmentation,,ILLUMIO,ILLUMIO,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,3 Year,10/06/25,,Extend,"$80,712","$99,699","$99,699","-$18,987","-$7,548",,,"$102,072","$102,072","$102,072",$0,"$2,373"
ERP,ERP Project Harmony (66100),SAC subscriptions,,,"Business Objects Software Limited, t/a SAP Solutions",1200 - IRE,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,,,Extend,$0,$0,$0,$0,"-$43,690",,,"$84,000","$84,000","$84,000",$0,"$84,000"
BPS Commercial,IS Commercial - EU & Int'l (65160),"Veeva Link licenses for Onc-Global, Neuro-Canada & Onc-Canada","30413 - contract ID in Coupa
PR 21449",Veeva CRM,EU - Veeva Systems Inc,1200 - IRE,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,12/31/23,True,Extend,"$240,250","$240,250","$150,000",$0,"$90,250",,,"$469,920","$469,920","$469,920",$0,"$319,920"
IS ED&EUS,IS ED&EUS - Automation (65140),"Offshore support resources (all process automation support, Digital Process Automation SME)","Bot and automation platform administration and support: one offshore, one onshore",,Intelliswift Software Inc.,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,,Extend,"$226,125","$193,813","$193,813","$32,313","$90,525",,,"$266,004","$266,004","$266,004",$0,"$72,192"
IS Infrastructure,IS Global Infrastructure - Manufacturing (65150),"Manufacturing - Hardware support for legacy hardware that is no longer supported by the OEM vendor.  Provided through Park Place for ESX hardware in ATH, VIL","Manufacturing - LEGACY Hardware support for legacy hardware that is no longer supported by the OEM vendor.  Provided through Park Place for ESX hardware in ATH, VIL",Park Place,"CDW Direct, LLC",2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,04/30/25,,Extend,"$3,063","$3,000","$6,000",$63,"-$2,937",,,"$3,000","$3,000","$3,000",$0,"-$3,000"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),JazzPVI SaaS License Fee,,JazzPVI,RxLogix Corporation,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/30/24,True,Extend,"$216,000","$201,021","$216,000","$14,979","$36,000",,,"$225,000","$225,000","$225,000",$0,"$9,000"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),JazzPVI Blinding Software License,,JazzPVI,Accusoft,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,03/09/24,,Extend,"$18,422","$18,423","$18,423",-$1,"$8,802",,,"$21,850","$21,850","$21,850",$0,"$3,427"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Informatica Cloud (IICS) NA - Yearly Licenses (Core),To be retired,Informatica,Informatica,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,,,Retire,"$29,450","$29,451","$29,451",-$1,"-$88,354",,,$0,$0,$0,$0,"-$29,451"
IS ED&EUS,IS ED&EUS - Digital Workplace (65140),Miro License renewal,,Miro,"RealtimeBoard, Inc. dba Miro",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,10/31/24,True,Extend,"$78,500","$131,625","$131,625","-$53,125","-$49,000",,,"$170,000","$170,000","$170,000",$0,"$38,375"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Last Mile service & SD-WAN,Network - Last Mile service & SD-WAN,Aryaka,Aryaka,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,23/31/24,True,Extend,"$786,132","$728,959","$763,252","$57,173","$386,132",,,"$880,000","$880,000","$880,000",$0,"$116,748"
BPS Corporate,IS Corporate - Legal (65180),JazzAgree Support,,,Daniel K Cloud,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/23,,Extend,"$142,747","$180,000","$180,000","-$37,253","-$93,253",,,"$20,000","$20,000","$20,000",$0,"-$160,000"
BPS R&D,IS R&D – Global Medical Affairs (65170),Jazz Clinical Trial Data Transparency - Subscription,,SAS,SAS,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,04/30/24,,Extend,"$159,166","$126,823","$125,000","$32,344","$34,166",,,"$125,000","$125,000","$125,000",$0,$0
BPS R&D,IS R&D - Global Regulatory Affairs (65170),Regulatory - A4/5 Labeling Software & REM templates -. Additional Licenses,,I4I,I4I,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/30/23,,Extend,$0,$0,$0,$0,"-$20,000",,,"$60,000","$60,000","$60,000",$0,"$60,000"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - Monitoring Ops Manager,Network - Monitoring Ops Manager,Manage Engine,Evotek,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,3 Year,10/31/26,,Extend,"$4,234","$38,106","$4,234","-$33,872","-$11,766",,,"$10,000","$10,000","$10,000",$0,"$5,766"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network - SD WAN service for all sites,DELETE - Included in RowID 1838,Aryaka,Aryaka,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,12/31/23,,Extend,$0,$0,$0,$0,"-$360,000",,,$0,$0,$0,$0,$0
IS Infrastructure,IS Global Infrastructure - Cloud (65150),GitHub licenses,DELETE Cloud - Github licenses covered by John,Microsoft,Microsoft Corporation,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,08/31/25,,Retire,"$25,000","$25,000","$25,000",$0,"$10,000",,,$0,$0,$0,$0,"-$25,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),Printing Services IRE / Europe,Printing Services IRE / Europe,Printing,Canon Ireland,1200 - IRE,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,"$18,972","$15,996","$15,996","$2,976","$3,336",,,"$21,600","$21,600","$21,600",$0,"$5,604"
IS ED&EUS,IS ED&EUS - End User Services (65140),Printing Services UK,Printing Services UK,Printing,Canon UK,3101 - OXF,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,"$23,814","$15,000","$15,000","$8,814","$8,921",,,"$90,000","$90,000","$90,000",$0,"$75,000"
BPS Commercial,IS Commercial - EU & Int'l (65160),Price Modeling solution,devfunct,Model N,Model N,1200 - IRE,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,08/31/24,True,Extend,"$93,297","$102,600","$136,800","-$9,303","-$37,383",,,"$100,000","$100,000","$100,000",$0,"-$36,800"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),RStudio Licenses - Yearly Licenses,RStudio Licenses - Yearly Licenses,RStudio,Posit,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,No,12/15/24,True,Extend,"$145,526","$145,529","$144,360",-$3,"$38,750",,,"$160,375","$160,375","$160,375",$0,"$16,015"
IS Infosec,IS Infosec & EA - SGRC (65190),External Threat Analysis - Digital Shadows,,Digital Shadows,Digital Shadows,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/30/25,True,Extend,"$56,459","$56,459","$56,459",$0,"-$4,687",,,"$56,459","$56,459","$56,459",$0,$0
